						EA GPS				CP GPS				HM GPS				MA GPS				
Phenotype 	Category	Survey Round	Detailed Category	WLS variable name	Explanation	P-value	Beta	95% CI (low)	95% CI (high)	P-value	Beta	95% CI (low)	95% CI (high)	P-value	Beta	95% CI (low)	95% CI (high)	P-value	Beta	95% CI (low)	95% CI (high)	
LetterFluency(R5)	1.Cognition	5th_Round	Fluency	z_gi210rec	R5 Letter Fluency: Total number of scored words named.	7.06E-16	0.72	0.54	0.89	7.62E-21	0.58	0.46	0.7	3.98E-10	0.38	0.26	0.5	3.02E-05	0.34	0.18	0.49	
CategoryFluency(R5)	1.Cognition	5th_Round	Fluency	z_gi310rec	R5 Category Fluency: Total number of scored words named.	2.67E-17	0.93	0.72	1.14	2.82E-16	0.63	0.48	0.78	3.74E-15	0.59	0.44	0.73	1.41E-09	0.61	0.41	0.8	
LetterFluency(R6)	1.Cognition	6th_Round	Fluency	z_hi210rec	R6 Letter Fluency: Total number of scored words named.	1.31E-23	0.78	0.63	0.94	1.36E-28	0.6	0.5	0.71	1.10E-14	0.41	0.31	0.51	8.04E-09	0.41	0.27	0.54	
CategoryFluency(R6)	1.Cognition	6th_Round	Fluency	z_hi310rec	R6 Category Fluency: Total number of scored words named.	6.71E-15	0.85	0.64	1.06	6.02E-16	0.62	0.47	0.77	3.06E-15	0.59	0.44	0.73	5.70E-09	0.58	0.39	0.78	
Similarity(R4)	1.Cognition	4th_Round	Similarity	r4_similarity	R4 Summary score for similarity (6 items)	1.11E-75	1.36	1.22	1.51	2.48E-65	0.87	0.77	0.97	1.20E-51	0.76	0.66	0.86	2.43E-24	0.68	0.55	0.81	
Similarity(R5)	1.Cognition	5th_Round	Similarity	r5_similarity	R5 6-item score for the Cognition Similarities section (z_gi101re + z_ai101re MERGED)	4.09E-63	1.26	1.11	1.4	6.18E-50	0.77	0.67	0.87	6.79E-42	0.69	0.59	0.79	1.07E-18	0.6	0.47	0.73	
Similarity(R6)	1.Cognition	6th_Round	Similarity	z_hi101re	R6 6-item score summarizing Participant's performance on Weschler Adult Intelligence Scale (WAIS) questions selected for inclusion in the Cognition - Similarities Module.	1.69E-72	1.36	1.21	1.51	2.94E-65	0.89	0.79	1	1.76E-51	0.77	0.67	0.87	7.58E-24	0.69	0.55	0.82	
DelayedRecall(R5)	1.Cognition	5th_Round	WordRecall	r5_delayedrecall	R5 z_gi413re. + z_ai413re	3.76E-04	0.31	0.14	0.48	4.14E-03	0.17	0.05	0.29	5.60E-03	0.16	0.05	0.28	1.17E-01	0.12	-0.03	0.28	
ImmediateRecall(R5)	1.Cognition	5th_Round	WordRecall	r5_immediaterecall	R5 z_gi457re + z_ai457re	4.76E-02	0.17	0	0.34	9.54E-02	0.1	-0.02	0.22	2.37E-01	0.07	-0.04	0.18	7.89E-01	0.02	-0.13	0.17	
